service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1483_PO,0,0,0,0,0,0,0,20250701,20260228
1483_SO,0,0,0,0,0,0,0,20250701,20260228
1483_SW,0,0,0,0,0,0,0,20250701,20260228
1483_PT,0,0,0,0,0,0,0,20250701,20260228
1483_CZ,0,0,0,0,0,0,0,20250701,20260228
1485_PO,0,0,0,0,0,0,0,20250701,20260228
1485_SO,0,0,0,0,0,0,0,20250701,20260228
1485_SW,0,0,0,0,0,0,0,20250701,20260228
1485_PT,0,0,0,0,0,0,0,20250701,20260228
1485_CZ,0,0,0,0,0,0,0,20250701,20260228
